File Size (bytes),AES Enc (s),RSA Enc (s),Sign Time (s),RSA Dec (s),AES Dec (s),Verify Time (s),Total Time (s),Non-AES Time (s),Overhead (%)
712191,0.0013315000105649233,0.00012809998588636518,0.0020146000024396926,0.0012270000006537884,0.0009873000090010464,0.00019190000602975488,0.005880400014575571,0.003561599995009601,60.56730811137967
2244248,0.003907699981937185,0.0001320999872405082,0.0020901999960187823,0.0011668999795801938,0.0030623000056948513,0.0003181000065524131,0.010677299957023934,0.0037072999693918973,34.72132453254809
3151335,0.004345800000010058,0.00015449998318217695,0.002055699995253235,0.0011722999915946275,0.004174700006842613,0.0001720000000204891,0.0120749999769032,0.0035544999700505286,29.436852810347823
5299516,0.0070364999992307276,0.0001708999916445464,0.002073400013614446,0.0011623000027611852,0.008754300011787564,0.0001632999919820577,0.019360700011020526,0.003569900000002235,18.438899409474715
11165823,0.016729700000723824,0.00013520001084543765,0.0030540000007022172,0.0014298000023700297,0.017569699994055554,0.00019890000112354755,0.03911730000982061,0.004817900015041232,12.31654540019805
17270815,0.024916399997891858,0.00015300000086426735,0.0023370000126305968,0.0011737000022549182,0.03135269999620505,0.00017710000975057483,0.06010990001959726,0.003840800025500357,6.389629702009428
21200000,0.029517399991163984,0.0001846000086516142,0.0021043000160716474,0.001822799997171387,0.02211890000035055,0.0002457000082358718,0.055993700021645054,0.0043574000301305205,7.781946948399756
42100000,0.07139619998633862,0.00013669999316334724,0.00206830000388436,0.0012286999844945967,0.07014009999693371,0.00024720001965761185,0.14521719998447224,0.003680900001199916,2.534754837301302
49352493,0.09448899998096749,0.00013950001448392868,0.0021351000177673995,0.001172600022982806,0.09555319999344647,0.0001784999913070351,0.19366790002095513,0.0036257000465411693,1.872122352826082
105689149,0.17314660002011806,0.00020019998191855848,0.0038173999928403646,0.0011865999840665609,0.22362299999804236,0.00018209998961538076,0.4021558999666013,0.005386299948440865,1.3393561921852177
